beg_i,end_i,count,src_ent,sport_ent,dst_ent,dport_ent
1.0,122242.0,122242.0,10.398579254393491,8.162710596116291,9.812774177386624,7.438390375778685
122243.0,212708.0,90466.0,10.15087133418846,7.972289481152014,9.647277848325304,7.309408686524622
212709.0,303510.0,90802.0,10.132268394509493,7.979039232845432,9.643112730292353,7.350142579731427
303511.0,393777.0,90267.0,10.119423002968546,8.043801173727081,9.575148330841602,7.345304293803841
393778.0,485405.0,91628.0,10.2006521365253,8.025554666427787,9.65335983875459,7.310967394686966
485406.0,572572.0,87167.0,10.331619274627,8.005780041017676,9.804406291733487,7.337672226782324
572573.0,661002.0,88430.0,10.32730876015841,8.005884435541493,9.724026295523778,7.204437314117627
661003.0,750642.0,89640.0,10.181152072856063,7.943613529280622,9.626879399688313,7.151708197118895
750643.0,839300.0,88658.0,10.204335993552805,7.853034011325307,9.72631690286071,7.360899427182756
839301.0,929874.0,90574.0,10.194746655811313,7.916926052341283,9.762573527440283,7.387204970745294
929875.0,1000000.0,70126.0,10.081810495264387,7.7712564244828455,9.554779602417767,7.230659514474701
