beg_i,end_i,count,src_ent,sport_ent,dst_ent,dport_ent
1.0,1879.0,1879.0,8.062122850008645,6.282286763223875,7.701113798147616,5.398806613566919
1880.0,3908.0,2029.0,8.10649436752116,6.305134961259599,7.484776424909145,5.398668624000329
3909.0,5873.0,1965.0,8.304412276821965,6.52106204111467,7.743115419028595,5.405506409618695
5874.0,7828.0,1955.0,8.094224374216578,6.124212770484453,7.6602978659867995,5.506384963262455
7829.0,9663.0,1835.0,7.62023098331261,5.8516082211003955,7.269852427938789,5.260369975944118
9664.0,11304.0,1641.0,7.793900843299002,5.669809731323788,7.1368122267625695,5.329889611462237
11305.0,13271.0,1967.0,8.491303486713342,6.46253788164465,7.790130142874381,5.212144820141871
13272.0,15008.0,1737.0,8.128881855578772,5.809457042097586,7.797642055163549,5.593165453926968
15009.0,16868.0,1860.0,8.189128310930318,6.2718412794155265,7.785298403256581,5.428640111134594
16869.0,18642.0,1774.0,8.189955558312297,6.174834854017579,7.62298223950229,5.350504038303824
18643.0,20450.0,1808.0,8.173032444909762,6.10409261298229,7.7782842227889,5.497921853179612
20451.0,22456.0,2006.0,7.910258256755947,6.048316471057581,7.613902616913544,5.741888114012111
22457.0,24324.0,1868.0,7.682474749567079,5.856105409910306,7.30047376355749,5.562400690605257
24325.0,26177.0,1853.0,8.061539350130984,6.004652210514765,7.5804069168584505,5.63278737749001
26178.0,27842.0,1665.0,8.0527953995183,5.745610850468762,7.771437812931454,5.681327396604759
27843.0,29674.0,1832.0,7.865677912914879,5.780212327212589,7.8232404202172,5.754729191816106
29675.0,31724.0,2050.0,8.160711929986942,6.097773178751783,7.65336555045025,5.441662029346779
31725.0,33606.0,1882.0,8.368034813840605,6.124312672464816,7.927782357938534,5.613009377111154
33607.0,35451.0,1845.0,8.090169184281027,6.016841779165258,7.578903640309783,5.3479858352086325
35452.0,37375.0,1924.0,7.682895597920433,5.895054482704927,7.226013408784893,5.361727653311007
37376.0,39253.0,1878.0,7.891484108193863,6.046738221700608,7.522289800773574,5.342730970256383
39254.0,41066.0,1813.0,7.7625281603641225,6.06163279440026,7.348183687966923,5.0760047220448845
41067.0,43016.0,1950.0,8.057151769612867,6.184993208766932,7.729063726559847,5.455943590417036
43017.0,44878.0,1862.0,7.69771793235591,6.061016202145731,7.260890310702491,5.200852349000786
44879.0,46767.0,1889.0,7.971420502283314,6.084741878850473,7.594614955090984,5.226127939782479
46768.0,48835.0,2068.0,8.04439746709061,5.948169941661938,7.710213711081258,5.719343827471616
48836.0,50779.0,1944.0,8.34478768541928,6.191002558433841,7.761329327193512,5.710171104579014
50780.0,53054.0,2275.0,8.311344769436495,6.4393632362285596,7.869216487270508,5.476245045207823
53055.0,55241.0,2187.0,8.385807262692634,6.528114949914136,7.820810944418104,5.281666031269759
55242.0,57223.0,1982.0,7.7418344504209315,6.152972712631643,7.450174406023667,5.5372018547384325
57224.0,59647.0,2424.0,8.083817757110646,6.286527136902409,7.6425785709543375,5.437336227244742
59648.0,61213.0,1566.0,8.068036647030857,6.18806942500435,7.661599875073636,5.498040000066291
61214.0,62201.0,988.0,7.043870178735335,5.4711954152687765,6.771586877028192,4.902401656877513
62202.0,63081.0,880.0,7.115956714590569,5.5991565090522295,6.878728247888733,4.765646690456674
63082.0,63851.0,770.0,7.377684433563335,5.6334977865884,6.976610805624941,4.90981260582779
63852.0,64670.0,819.0,7.541180328803539,5.60056677894381,7.208073743787457,5.007263106883206
64671.0,65517.0,847.0,7.193040245005267,5.425522464152451,7.0026046285685855,5.129173119572655
65518.0,66389.0,872.0,7.012673283220106,5.253092584498135,6.672683409708081,4.747419137413603
66390.0,67252.0,863.0,7.590695767285602,5.676742951238478,7.3751031818083295,5.100431231901803
67253.0,68105.0,853.0,7.556513470212474,5.5728087363816625,7.226674926727508,5.232112402726433
68106.0,68945.0,840.0,7.3975421037998865,5.562499154544539,7.328606162690487,5.396839832027578
68946.0,69760.0,815.0,7.7047337750430085,5.614580911223662,7.315133871620938,5.178554214236353
69761.0,70543.0,783.0,7.781553386930379,5.871282834460592,7.080177379790512,5.037031431516758
70544.0,71389.0,846.0,7.552379879178241,5.487595215327723,7.369330620238503,5.36847821368311
71390.0,72281.0,892.0,7.515518051279711,5.587852113971108,7.242748816680336,5.026064933401143
72282.0,73109.0,828.0,7.5099109321763855,5.442844042231446,7.381059521893156,5.382427841922104
73110.0,74057.0,948.0,7.204042011389984,5.548757505562267,6.985430134866341,5.247285076184732
74058.0,75095.0,1038.0,6.812941266738178,5.224888739435944,6.461097246086322,5.186943371020353
75096.0,76150.0,1055.0,6.736156189487508,5.43602955992936,6.741920372332241,5.313373698209653
76151.0,77050.0,900.0,7.369278161181371,5.750983025392463,7.044272506461238,5.09049738938464
77051.0,77873.0,823.0,7.389970228090273,5.453184325918109,7.3117696514441874,5.297734894270199
77874.0,78700.0,827.0,6.267947072915568,4.619257689017273,5.825135179558896,4.190162631571691
78701.0,79537.0,837.0,5.932969814410648,4.3261835288899775,5.526391855574934,4.003194590794551
79538.0,80365.0,828.0,5.809540385304772,4.076847576096598,5.810578415354364,4.687745208928001
80366.0,81670.0,1305.0,7.817867372235841,5.9949808507715545,7.312773492755204,5.111003893509267
81671.0,82809.0,1139.0,8.033452052987334,6.136560873340568,7.388088546964574,4.819362846924768
82810.0,83597.0,788.0,7.611416864166671,5.988823443640623,7.119093536555624,4.504440347861452
83598.0,84404.0,807.0,7.794665773689982,5.7377636589138685,7.211721094308054,4.998754038989576
84405.0,85185.0,781.0,7.658806038737244,5.5035965551974835,7.394912789295523,5.193608059810316
85186.0,86019.0,834.0,7.516068717155363,5.877246965106556,7.016018989522926,4.532243311282813
86020.0,86970.0,951.0,7.048427028158777,5.492737365680783,6.71651016505251,4.7170969113993
86971.0,87795.0,825.0,7.305759042933452,5.46676871966788,6.969694690801427,5.052193759112164
87796.0,88598.0,803.0,7.4518961881739765,5.6314688369391135,7.147364210794944,5.103579876389371
88599.0,89560.0,962.0,7.139631352900256,5.462341791062463,7.062076830027699,5.422057880355413
89561.0,90665.0,1105.0,7.109295003218368,5.686712089609797,6.719132835024349,4.956817686588893
90666.0,91661.0,996.0,7.393985736225132,5.35587127901995,7.299521292491415,5.307938064682601
91662.0,92625.0,964.0,7.473325625517418,5.555166420492392,7.353132048000754,5.345544561216512
